pays,age_moyen,nombre_athletes,age_min,age_max
Albania,19,1,19,19
Algeria,24,2,20,33
Andorra,25,3,21,27
Argentina,24,9,20,44
Armenia,22,5,18,29
Australia,26,40,18,35
Austria,28,73,18,38
Azerbaijan,28,2,25,30
Belarus,27,28,18,39
Belgium,29,4,23,38
Bermuda,31,1,31,31
Bosnia and Herzegovina,21,6,19,26
Brazil,27,9,22,38
Bulgaria,26,21,16,32
Canada,25,191,16,49
Chile,23,9,15,29
China,24,74,14,32
Costa Rica,49,1,49,49
Croatia,23,23,18,44
Cyprus,28,1,28,28
Czech Republic,26,83,18,41
Denmark,29,4,19,42
Estonia,26,26,16,35
Ethiopia,31,1,31,31
Finland,27,90,16,39
France,26,82,17,38
Georgia,19,3,16,26
Germany,27,155,16,39
Greece,27,5,15,31
Hungary,25,19,16,34
Iceland,24,5,20,26
India,25,4,24,29
Iran,35,2,33,39
Ireland,26,4,20,38
Israel,26,5,18,31
Italy,27,179,15,46
Japan,27,110,17,41
Kazakhstan,25,55,16,37
Kenya,34,1,34,34
Kyrgyzstan,26,1,26,26
Latvia,26,57,18,39
Lebanon,25,3,21,41
Liechtenstein,27,5,16,34
Lithuania,23,7,20,35
Luxembourg,17,1,17,17
Macedonia,20,3,17,24
Madagascar,19,1,19,19
Moldova,27,6,16,33
Monaco,22,4,17,32
Mongolia,21,2,20,22
Nepal,36,1,36,36
Netherlands,26,33,19,37
New Zealand,29,15,16,50
North Korea,21,6,16,27
Norway,28,67,17,43
Poland,25,45,18,35
Portugal,32,1,32,32
Romania,25,25,18,33
Russia,26,174,16,39
San Marino,18,1,18,18
Senegal,24,1,24,24
Serbia,27,6,16,38
Slovakia,26,58,16,38
Slovenia,25,36,19,35
South Africa,28,3,25,30
South Korea,22,40,15,32
Spain,25,16,16,36
Sweden,27,106,16,39
Switzerland,26,125,16,42
Taiwan,20,1,20,20
Tajikistan,28,1,28,28
Thailand,47,1,47,47
Turkey,21,6,18,23
UK,27,39,20,40
Ukraine,26,52,17,36
USA,26,204,16,44
Uzbekistan,23,4,20,25
Venezuela,52,1,52,52
